Company Name,Manufacturer/Supplier,Category,Specialty,MOQ,Website,Used By,Email,Phone Number,Country of Origin
Pedrosa & Rodrigues,Manufacturer,Jersey Knitwear,"Womenswear, Menswear, Children's & Baby",,https://www.pedrosa-rodrigues.pt/,Aimé Leon Dore,mail@pedrosa-rodrigues.pt,(+351) 253 830 120,Portugal
Asial de Calçado,Manufacturer,Footwear (Shoes),Womenswear & Menswear,,https://www.asial.pt,Available Upon Request,Web Form,(+351) 253 054 600,Portugal
Cotton Blends,Manufacturer,"Jersey, French Terry, Outerwear (Vests & Jackets), Skirts, Polo Shirts, Sweatshirts & Dresses","Womenswear, Menswear, Children's & Baby",,https://cottonblends.pt,Holzweiler,info@cottonblends.pt,(+351) 253 191 782,Portugal
Mundotêxtil,Supplier,French Terry & Baby Terry,"Womenswear, Menswear, Children's & Baby",,https://www.mundotextil.pt/,Available Upon Request,geral@mundotextil.pt,(+351) 253 489 420,Portugal
Riopele,Supplier,"Synthetic, Artificial & Recycled fabrics","Womenswear, Menswear, Children's & Baby",,https://www.riopele.pt,Available Upon Request,riopele@riopele.pt,(+351) 252 990 990,Portugal
Malhas Da Torre,Manufacturer,Knitwear,"Womenswear, Menswear, Children's & Baby",,https://malhasdatorre.com,Available Upon Request,geral@malhasdatorre.com,(+351) 252 860 010,Portugal
Youngstar,Manufacturer,Private Label,"Womenswear, Menswear & Children",,https://youngstar.com.pt/,Available Upon Request,Web Form,Pending,Portugal
RTG Textiles,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://www.rtggroup.com/textiles,Colourful Standard,production@rtggroup.com,Pending,Portugal
Create Fashion Brand,Manufacturer,Jersey Knitwear,"Womenswear, Menswear & Children",,https://createfashionbrand.com/,"Represent, Palace, Moschino, GIvenchy, Palms Angels, Our Legacy, Cole Buxton & Casablanca",hello@createfashionbrand.com,(+351) 253 784 376,Portugal
Friendly Factories,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://www.friendlyfactories.com/,Heron Preston,Web Form,Pending,Portugal
Goucam,Manufacturer,Formal Wear,Womenswear & Menswear,,https://www.goucam.com/,Lacoste & Hugo Boss,goucam@goucam.com,(+351) 232 470 260,Portugal
AAC Textiles,Manufacturer/Supplier,All,"Womenswear, Menswear, Children's & Baby",,https://www.aactextiles.com/,Coach,info@aactexteis.pt,(+351) 252 800 200,Portugal
Barata Garcia,Manufacturer,Knitwear,"Womenswear, Menswear, Children's & Baby",,https://baratagarcia.com,Available Upon Request,barata@baratagarcia.com,(+351) 253 830 100,Portugal
Confetil,Manufacturer/Supplier,All,Womenswear & Menswear,,http://www.confetil.com/,Available Upon Request,contactus@confetil.com,(+351) 229 619 110,Portugal
Silsa,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://www.silsa.pt,Acne Studios,silsa@silsa.pt,(+351) 253 809 140,Portugal
Petratex,Manufacturer,"Knitwear, Outerwear, Sportswear & Accessories","Womenswear, Menswear & Children",,https://www.petratex.com/en/,Speedo,petratex@petratex.com,(+351) 255 868 000,Portugal
Addvance Studio,Manufacturer/Supplier,Footwear (Shoes),"Womenswear, Menswear & Children",,https://addvance.pt,Available Upon Request,info@addvancestudio.com,Pending,Portugal
ASBX,Manufacturer/Supplier,Knitwear,Blanks for Womenswear & Menswear,50 pcs,https://asbx.pt/,Aimé Leon Dore,production@asbx.pt,(+351) 937 299 800,Portugal
Tetribérica,Manufacturer,Knitwear,"Womenswear, Menswear & Children",,https://www.tetriberica.com/,Available Upon Request,geral@tetriberica.com,(+351) 252 490 010,Portugal
Flaj,Manufacturer,Footwear (Shoes),Menswear,,https://www.flaj.pt,Available Upon Request,info@flaj.pt,(+351) 253 483 262,Portugal
Sonix,Manufacturer,Knitwear & Outerwear,Womenswear & Menswear,,https://www.sonix.pt/,Available Upon Request,info@sonix.pt,(+351) 253 802 040,Portugal
Mees,Manufacturer,Footwear (Shoes),"Womenswear, Menswear, Children & Baby",,https://mees.productions/,Available Upon Request,info@mees.productions,Pending,Portugal
Valerius,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,http://www.valerius.pt/,Available Upon Request,valerius@valerius.pt,(+351) 253 802 750,Portugal
Cotton Answer,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://cottonanswer.pt/,Available Upon Request,geral@cottonanswer.pt,(+351) 253 801 110,Portugal
Fermir,Manufacturer/Supplier,All,"Womenswear, Menswear & Children",,http://www.fermir.com/,Available Upon Request,geral@fermir.com,(+351) 253 439 190,Portugal
Polopiqué,Supplier,Knitwear,"Womenswear, Menswear, Children & Baby",,https://polopique.pt/,PANGAIA,hello@polopique.pt,(+351) 253 480 100,Portugal
Becri Group,Manufacturer,Knitwear,"Womenswear, Menswear & Children",350 pcs,https://www.becrigroup.com,Available Upon Request,becrigroup@becrigroup.pt,(+351) 253 839 230,Portugal
Source Textile,Supplier,Knitwear,"Womenswear, Menswear, Children & Baby",,https://sourcetextile.pt/,Available Upon Request,geral@sourcetextile.pt,Pending,Portugal
RDD Textiles,Supplier,Knitwear,"Womenswear, Menswear, Children & Baby",,https://rddtextiles.pt,Available Upon Request,info@rddtextiles.pt,(+351) 253 802 790,Portugal
Pure Cotton,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://purecotton.pt/,Available Upon Request,geral@purecotton.pt,(+351) 253 821 256,Portugal
JF Almedia,Supplier,All,"Womenswear, Menswear, Children & Home",,https://www.jfa.pt/,Available Upon Request,geral@jfa.pt,(+351) 253 560 000,Portugal
Tintex Textiles,Supplier,"Jersey Knit, Althleisure & Intimates","Womenswear, Menswear & Children",,https://tintextextiles.com/,Available Upon Request,hello@tintextextiles.com / info@tintextextiles.com,(+351) 251 708 200,Portugal
Somelos,Supplier,Knitwear (Cotton),"Womenswear, Menswear & Children",,https://www.somelos.pt,Available Upon Request,tecidos@somelos.pt,(+351) 253 540 402,Portugal
Anglotex,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear, Children & Baby",,https://anglotex.pt,Available Upon Request,Web Form,Pending,Portugal
Adalberto Studio,Supplier,Knitwear,"Womenswear, Menswear & Home",,https://adalbertostudio.com/,Available Upon Request,mbaptista@adalberto.pt,(+351) 252 870 060,Portugal
Triwool,Manufacturer/Supplier,Knitwear,"Womenswear, Menswear & Children",,https://www.triwool.pt/,Available Upon Request,info@triwool.pt,(+351) 220 934 168,Portugal
Impetus Group,Manufacturer,"Jersey Knit, Althleisure & Intimates","Womenswear, Menswear & Children",,https://www.impetus.pt/,"Eden Park, IAM, Impetus & Protechdry",geral@impetus.pt,(+351) 253 859 210,Portugal
Coton Couleur,Manufacturer,Cotton,Home & Hospitality Textiles,,https://cotoncouleur.com/,Available Upon Request,contact@concouleur.com,(+351) 253 193 711,Portugal
